"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 7"
"https://www.google.fr/maps/place/Pressing+Bulles+St+Barnab%C3%A9/data=!4m7!3m6!1s0x12c9bf13222c2311:0x939a24f48721298b!8m2!3d43.3048157!4d5.4160162!16s%2Fg%2F11c5btxj1n!19sChIJESMsIhO_yRIRiykhh_QkmpM?authuser=0&hl=fr&rclk=1","Pressing Bulles St Barnabé","4,5","(140)","Pressing","·","·","Ferme bientôt","· 19:00 · Ouvre à 08:00 sam.","36 Av. de Saint-Julien","04 88 44 86 99","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Travail nickel et accueil au top Je recommande ce","pressing","""","","·"
"https://www.google.fr/maps/place/Pressing+Saint+Giniez/data=!4m7!3m6!1s0x12c9c75978d862c7:0xae6aa25f0c7ad6a6!8m2!3d43.2679253!4d5.3888949!16s%2Fg%2F1tm9dcft!19sChIJx2LYeFnHyRIRptZ6DF-iaq4?authuser=0&hl=fr&rclk=1","Pressing Saint Giniez","4,9","(237)","Pressing","·","·","Fermé","· Ouvre à 08:30 mar.","72 Av. de Mazargues","04 91 77 29 93","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super","pressing",", accueil chaleureux et souriant, travail impeccable!""","","·"
"https://www.google.fr/maps/place/Espace+laverie+pressing/data=!4m7!3m6!1s0x12c9c1815f74904b:0x608cc21820990011!8m2!3d43.2955709!4d5.3799917!16s%2Fg%2F11h_xhc34l!19sChIJS5B0X4HByRIREQCZIBjCjGA?authuser=0&hl=fr&rclk=1","Espace laverie pressing","4,0","(4)","Laverie automatique","·","8 Rue Rodolphe Pollak","Fermé","· Ouvre à 09:00 sam.","·","06 37 28 75 76","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""La patronne est très Sympathique.""","","","",""
"https://www.google.fr/maps/place/KUNZ+Pressing+MARSEILLE+BONNEVEINE/data=!4m7!3m6!1s0x12c9c76e8f810a77:0x78319cbe52c58627!8m2!3d43.2482847!4d5.3905707!16s%2Fg%2F1td828w9!19sChIJdwqBj27HyRIRJ4bFUr6cMXg?authuser=0&hl=fr&rclk=1","KUNZ Pressing MARSEILLE BONNEVEINE","4,3","(205)","Pressing","·","·","Ouvert","· Ferme à 19:30","124 Av. de Hambourg","04 91 72 43 00","https://www.kunz.fr/pressings/marseille-bonneveine/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super","pressing",", service rapide, accueil très sympathique, je recommande !""","","·"
"https://www.google.fr/maps/place/Blanchisserie+%26+Pressing+de+Mazargues/data=!4m7!3m6!1s0x12c9b8845dfca0fd:0x108ddef7d4fa110d!8m2!3d43.2478459!4d5.4004792!16s%2Fg%2F1tfdv3qc!19sChIJ_aD8XYS4yRIRDRH61PfejRA?authuser=0&hl=fr&rclk=1","Blanchisserie & Pressing de Mazargues","4,7","(51)","Pressing","·","·","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","82 Bd de la Concorde","04 91 40 41 40","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Vrai","pressing",", le dernier du quartier, personnes sérieuses""","","·"
"https://www.google.fr/maps/place/KUNZ+Pressing+MARSEILLE+SAINT-LOUP/data=!4m7!3m6!1s0x12c9bf329a307981:0xc1b3f47162bd8898!8m2!3d43.2791708!4d5.4250483!16s%2Fg%2F1tt7j15j!19sChIJgXkwmjK_yRIRmIi9YnH0s8E?authuser=0&hl=fr&rclk=1","KUNZ Pressing MARSEILLE SAINT-LOUP","4,3","(160)","Pressing","·","·","Ouvert","· Ferme à 19:30","c.cial auchan, 57 Boulevard Romain Rolland","04 91 25 41 80","https://www.kunz.fr/pressings/marseille-saint-loup/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Très bon","pressing","et compréhensive""","","·"
"https://www.google.fr/maps/place/MAISON+LAVERIE+PLOMBI%C3%88RES+13003/data=!4m7!3m6!1s0x12c9c086b04e5c15:0x1739570069e56d0e!8m2!3d43.3143874!4d5.3882496!16s%2Fg%2F1vnnfky2!19sChIJFVxOsIbAyRIRDm3laQBXORc?authuser=0&hl=fr&rclk=1","MAISON LAVERIE PLOMBIÈRES 13003","4,1","(13)","Laverie automatique","·","20 Rue du Dr Léon Perrin","Ouvert","· Ferme à 23:30","","","http://www.maison-laverie.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pour le locker mondial relay, jamais déçu""","","","",""
"https://www.google.fr/maps/place/Laverie+Revolution+Laundry/data=!4m7!3m6!1s0x12c9c725eb0fffab:0xf65c0a5ff7c0a59e!8m2!3d43.27856!4d5.363263!16s%2Fg%2F11yhs1v23m!19sChIJq_8P6yXHyRIRnqXA918KXPY?authuser=0&hl=fr&rclk=1","Laverie Revolution Laundry","1,0","(1)","Laverie automatique","·","07 STATION SERVICE ENI, 95 Av. des Roches","Ouvert","· Ferme à 22:00","·","09 70 82 32 47","https://stores.revolution-laundry.com/fr-fr","","Site Web","","Itinéraires","","","","","",""
"https://www.google.fr/maps/place/Laverie+Revolution+Laundry/data=!4m7!3m6!1s0x12c9c1b359f85879:0x45a44571e1f19cdb!8m2!3d43.318664!4d5.390483!16s%2Fg%2F11yht3kdg6!19sChIJeVj4WbPByRIR25zx4XFFpEU?authuser=0&hl=fr&rclk=1","Laverie Revolution Laundry","","","Laverie automatique","·","·","Ouvert 24h/24","","Station Service Eni, 26 Chem. de Sainte-Marthe","09 70 82 32 47","https://stores.revolution-laundry.com/fr-fr","","Site Web","","Itinéraires","","","","","","·"
"https://www.google.fr/maps/place/Pressing+Sainte+Th%C3%A9r%C3%A8se/data=!4m7!3m6!1s0x12c9bf4412f427bb:0x2c33b329e54a1f23!8m2!3d43.2934789!4d5.4117902!16s%2Fg%2F11f3twt8f0!19sChIJuyf0EkS_yRIRIx9K5SmzMyw?authuser=0&hl=fr&rclk=1","Pressing Sainte Thérèse","3,9","(13)","Pressing","·","·","Fermé","· Ouvre à 07:30 sam.","164 Chem. de Saint-Jean du Désert","07 50 49 73 21","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pas cher et efficace.""","","","","·"
